seed,I_ext,stability_margin,rho_A,T,target_scale,dir_seed,energy,rel_reachability_error
0,0.16,0.18897202192967927,0.9098404623272216,5,0.01,1,0.00045160078224059036,0.008876128119462548
0,0.16,0.18897202192967927,0.9098404623272216,5,0.01,2,0.00045359218827321007,0.009629437959876228
0,0.16,0.18897202192967927,0.9098404623272216,5,0.02,0,0.0018120487491329095,0.0331863801479089
0,0.16,0.18897202192967927,0.9098404623272216,5,0.02,1,0.0018126363102656156,0.02412394289726102
0,0.16,0.18897202192967927,0.9098404623272216,5,0.02,2,0.0018055964070580175,0.020050485003229316
0,0.16,0.18897202192967927,0.9098404623272216,5,0.05,0,0.01128734745102585,0.006855399494535075
0,0.16,0.18897202192967927,0.9098404623272216,5,0.05,1,0.011362201116501568,0.007510009926131505
0,0.16,0.18897202192967927,0.9098404623272216,5,0.05,2,0.011412547186742514,0.007205614714865308
0,0.16,0.18897202192967927,0.9098404623272216,5,0.1,0,0.045832377993650614,0.017529306417537284
0,0.16,0.18897202192967927,0.9098404623272216,5,0.1,1,0.045328466330488475,0.0151371338738048
0,0.16,0.18897202192967927,0.9098404623272216,5,0.1,2,0.04572536025408811,0.015936153019401156
0,0.16,0.18897202192967927,0.9098404623272216,20,0.005,0,5.542041086425083e-05,0.03174283115371085
0,0.16,0.18897202192967927,0.9098404623272216,20,0.005,1,5.519543137693983e-05,0.05203357413003513
0,0.16,0.18897202192967927,0.9098404623272216,20,0.005,2,5.494259438173097e-05,0.06814295508352357
0,0.16,0.18897202192967927,0.9098404623272216,20,0.01,0,0.000231373439419203,0.005033252906580502
0,0.16,0.18897202192967927,0.9098404623272216,20,0.01,1,0.00021914914093861188,0.013684519798991903
0,0.16,0.18897202192967927,0.9098404623272216,20,0.01,2,0.00021859415708067712,0.016763752221714768
0,0.16,0.18897202192967927,0.9098404623272216,20,0.02,0,0.0008662849733247712,0.016975393939630847
0,0.16,0.18897202192967927,0.9098404623272216,20,0.02,1,0.0009222538972814497,0.0168373757266913
0,0.16,0.18897202192967927,0.9098404623272216,20,0.02,2,0.000855921385876256,0.016623226400699992
0,0.16,0.18897202192967927,0.9098404623272216,20,0.05,0,0.005618832238061515,0.018006870854268133
0,0.16,0.18897202192967927,0.9098404623272216,20,0.05,1,0.005623483029183026,0.01540580095675794
0,0.16,0.18897202192967927,0.9098404623272216,20,0.05,2,0.004887179372711017,0.01677085411485129
0,0.16,0.18897202192967927,0.9098404623272216,20,0.1,0,0.021066105575172404,0.02710372365800867
0,0.16,0.18897202192967927,0.9098404623272216,20,0.1,1,0.023418056087083267,0.025785973999709843
0,0.16,0.18897202192967927,0.9098404623272216,20,0.1,2,0.02098929576898642,0.0326662301221038
0,0.16,0.18897202192967927,0.9098404623272216,50,0.005,0,5.687477062817156e-05,0.003292396208902282
0,0.16,0.18897202192967927,0.9098404623272216,50,0.005,1,5.4131342592969646e-05,0.040793365685621655
0,0.16,0.18897202192967927,0.9098404623272216,50,0.005,2,5.1664980684455916e-05,0.0033318887761757806
0,0.16,0.18897202192967927,0.9098404623272216,50,0.01,0,0.00021379341778555313,0.011048220846750103
0,0.16,0.18897202192967927,0.9098404623272216,50,0.01,1,0.000213240228448462,0.004813795930756447
0,0.16,0.18897202192967927,0.9098404623272216,50,0.01,2,0.00022878728313250322,0.005724723590987621
0,0.16,0.18897202192967927,0.9098404623272216,50,0.02,0,0.0008930012579041129,0.01480717930639118
0,0.16,0.18897202192967927,0.9098404623272216,50,0.02,1,0.0009212970530881261,0.02743717166924369
0,0.16,0.18897202192967927,0.9098404623272216,50,0.02,2,0.0008764419072210548,0.01894153670236941
0,0.16,0.18897202192967927,0.9098404623272216,50,0.05,0,0.0050962116656662546,0.02023740886001042
0,0.16,0.18897202192967927,0.9098404623272216,50,0.05,1,0.005537396829576591,0.016323278237734943
0,0.16,0.18897202192967927,0.9098404623272216,50,0.05,2,0.0054429832196172916,0.013047332934183694
